ID,DATA,DIA_SEMANA,HORARIO,ESTADO,MUNICIPIO,CAUSA_ACIDENTE,TIPO_ACIDENTE,CLASSIFICACAO_ACIDENTE,FASE_DIA,SENTIDO_VIA,CONDICAO_METEREOLOGICA,TIPO_PISTA,TRACADO_VIA,PESSOAS,MORTOS,ILESOS,FERIDOS,VEICULOS,REGIONAL,MES
338784,2021-02-05,sexta-feira,19:25:00,SP,SAO PAULO,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,2,0,0,1,2,SR-SP,2
338792,2021-02-05,sexta-feira,19:45:00,SP,UBATUBA,Área urbana sem a presença de local apropriado para a travessia de pedestres,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,2,0,0,2,1,SR-SP,2
338798,2021-02-05,sexta-feira,21:37:00,SP,MAIRIPORA,Reação tardia ou ineficiente do condutor,Capotamento,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Reta,1,0,1,0,1,SR-SP,2
338827,2021-02-06,sábado,00:15:00,SP,SAO PAULO,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,3,0,3,0,2,SR-SP,2
338855,2021-02-06,sábado,01:00:00,SP,GUARULHOS,Ausência de reação do condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Nublado,Dupla,Reta,2,0,0,0,2,SR-SP,2
338863,2021-02-06,sábado,02:00:00,SP,SAO PAULO,Ausência de reação do condutor,Capotamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,1,0,0,0,1,SR-SP,2
338865,2021-02-06,sábado,07:15:00,SP,GUARULHOS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,1,0,0,1,1,SR-SP,2
338892,2021-02-06,sábado,09:15:00,SP,SAO JOSE DO RIO PRETO,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Não Informado,3,0,0,3,2,SR-SP,2
338896,2021-02-06,sábado,10:00:00,SP,MARILIA,Ingestão de álcool pelo condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,2,0,1,1,2,SR-SP,2
338903,2021-02-06,sábado,10:45:00,SP,ATIBAIA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Dupla,Reta,2,0,2,0,2,SR-SP,2
338906,2021-02-06,sábado,07:30:00,SP,JACUPIRANGA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,5,0,4,1,2,SR-SP,2
338909,2021-02-06,sábado,08:02:00,SP,JACUPIRANGA,Velocidade Incompatível,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,1,0,0,1,1,SR-SP,2
338931,2021-02-06,sábado,11:45:00,SP,SAO JOSE DOS CAMPOS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Não Informado,4,0,2,2,2,SR-SP,2
338954,2021-02-06,sábado,15:15:00,SP,UBATUBA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,2,0,1,1,2,SR-SP,2
338960,2021-02-06,sábado,15:30:00,SP,ATIBAIA,Demais falhas mecânicas ou elétricas,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,2,0,0,2,1,SR-SP,2
339019,2021-02-06,sábado,19:50:00,SP,UBATUBA,Ingestão de álcool pelo condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,3,0,2,1,2,SR-SP,2
339052,2021-02-06,sábado,17:55:00,SP,LAVRINHAS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Não Informado,1,0,1,0,1,SR-SP,2
339086,2021-02-07,domingo,01:30:00,SP,GUARULHOS,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,2,0,1,1,1,SR-SP,2
339093,2021-02-07,domingo,02:58:00,SP,SAO PAULO,Ausência de reação do condutor,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Reta,6,0,3,2,3,SR-SP,2
339101,2021-02-07,domingo,04:00:00,SP,ICEM,Ingestão de álcool pelo condutor,Colisão com objeto,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,3,0,2,0,2,SR-SP,2
339111,2021-02-07,domingo,04:30:00,SP,SAO JOSE DOS CAMPOS,Demais falhas mecânicas ou elétricas,Colisão com objeto,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,2,0,2,0,1,SR-SP,2
339121,2021-02-07,domingo,05:50:00,SP,LORENA,Transitar no acostamento,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,1,0,0,1,1,SR-SP,2
339127,2021-02-07,domingo,04:30:00,SP,EMBU DAS ARTES,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Dupla,Reta,4,0,3,1,3,SR-SP,2
339179,2021-02-07,domingo,11:39:00,SP,JACAREI,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Não Informado,2,0,0,2,1,SR-SP,2
339223,2021-02-07,domingo,13:30:00,SP,BARRA DO TURVO,Ingestão de álcool pelo condutor,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,1,0,1,0,1,SR-SP,2
339228,2021-02-07,domingo,16:35:00,SP,APARECIDA,Ingestão de álcool ou de substâncias psicoativas pelo pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Não Informado,2,0,1,1,1,SR-SP,2
339233,2021-02-07,domingo,16:15:00,SP,EMBU DAS ARTES,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,2,0,1,1,2,SR-SP,2
339247,2021-02-07,domingo,17:30:00,SP,SAO JOSE DO RIO PRETO,Ingestão de álcool pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,1,0,0,1,1,SR-SP,2
339301,2021-02-07,domingo,20:40:00,SP,SAO JOSE DOS CAMPOS,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,3,0,2,0,2,SR-SP,2
339338,2021-02-07,domingo,21:00:00,SP,GUARATINGUETA,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,2,0,0,2,1,SR-SP,2
339340,2021-02-07,domingo,23:56:00,SP,PINDAMONHANGABA,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Não Informado,1,0,0,1,1,SR-SP,2
339348,2021-02-08,segunda-feira,03:00:00,SP,SAO JOSE DO RIO PRETO,Ingestão de álcool pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,1,0,0,1,1,SR-SP,2
339364,2021-02-08,segunda-feira,05:40:00,SP,CACAPAVA,Demais falhas mecânicas ou elétricas,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,4,0,3,1,3,SR-SP,2
339454,2021-02-08,segunda-feira,16:00:00,SP,GUARULHOS,Problema com o freio,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,2,0,1,1,2,SR-SP,2
339485,2021-02-08,segunda-feira,18:20:00,SP,MIRACATU,Demais falhas na via,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,2,0,1,1,1,SR-SP,2
339529,2021-02-09,terça-feira,02:20:00,SP,GUARULHOS,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Desvio Temporário,4,0,3,1,2,SR-SP,2
339533,2021-02-09,terça-feira,04:00:00,SP,ATIBAIA,Ingestão de álcool pelo condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,1,0,1,0,1,SR-SP,2
339551,2021-02-09,terça-feira,07:50:00,SP,UBATUBA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão transversal,Com Vítimas Feridas,Amanhecer,Decrescente,Sol,Simples,Interseção de vias,4,0,2,1,2,SR-SP,2
339570,2021-02-09,terça-feira,09:10:00,SP,TAUBATE,Obstrução na via,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,2,0,2,0,2,SR-SP,2
339578,2021-02-09,terça-feira,10:45:00,SP,ITAPECERICA DA SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,4,0,3,1,2,SR-SP,2
339655,2021-01-09,sábado,02:13:00,SP,CACAPAVA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,2,0,1,1,2,SR-SP,1
339663,2021-02-09,terça-feira,16:30:00,SP,CAJATI,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,1,0,1,0,1,SR-SP,2
339699,2021-02-09,terça-feira,20:50:00,SP,SAO LOURENCO DA SERRA,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Não Informado,2,0,1,1,1,SR-SP,2
339755,2021-02-10,quarta-feira,07:50:00,SP,SAO JOSE DOS CAMPOS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,3,0,2,1,2,SR-SP,2
339786,2021-02-10,quarta-feira,09:50:00,SP,SAO JOSE DO RIO PRETO,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,5,0,3,1,4,SR-SP,2
339803,2021-02-10,quarta-feira,12:30:00,SP,APARECIDA,Manobra de mudança de faixa,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,2,0,1,1,2,SR-SP,2
339815,2021-02-10,quarta-feira,13:00:00,SP,ATIBAIA,Reação tardia ou ineficiente do condutor,Derramamento de carga,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,1,0,0,1,1,SR-SP,2
339816,2021-02-10,quarta-feira,13:20:00,SP,SAO JOSE DOS CAMPOS,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,2,0,0,2,1,SR-SP,2
339876,2021-02-10,quarta-feira,16:30:00,SP,NOVA GRANADA,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,2,0,2,0,2,SR-SP,2
