timestamp,mes_label,ano_ref,mes_ref,no_prazo,com_atraso,ferias_escolares,mes_com_feriado
2025-01-01,Jan/25,2025,1,0,6,1,1
2025-02-01,Fev/25,2025,2,2,1,1,0
2025-03-01,Mar/25,2025,3,2,1,0,0
2025-04-01,Abr/25,2025,4,0,4,0,1
2025-05-01,Mai/25,2025,5,1,3,0,1
2025-06-01,Jun/25,2025,6,0,5,0,1
2025-07-01,Jul/25,2025,7,2,2,1,0
2025-08-01,Ago/25,2025,8,2,1,0,0
2025-09-01,Set/25,2025,9,0,4,0,1
2025-10-01,Out/25,2025,10,0,4,0,1
2025-11-01,Nov/25,2025,11,0,4,0,1
2025-12-01,Dez/25,2025,12,1,3,0,1
2026-03-01,Mar/26,2026,3,1,1,0,0
2026-04-01,Abr/26,2026,4,0,12,0,1
